[2024-09-11T20:04:07.226747] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-11T20:04:07.262086] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-11T20:04:07.269603] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-11T20:04:07.271445] syslog-ng starting up; version='3.36.1'
[2024-09-11T20:05:35.164334] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-11T20:05:35.315069] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-11T20:05:35.315155] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-11T20:05:35.317436] Configuration reload request received, reloading configuration;
[2024-09-11T20:05:35.317459] Configuration reload finished;
[2024-09-11T20:05:36.054916] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-11T20:05:36.083729] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-11T20:05:36.083807] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-11T20:05:36.086520] Configuration reload request received, reloading configuration;
[2024-09-11T20:05:36.086544] Configuration reload finished;
[2024-09-11T20:05:38.196284] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-11T20:05:38.230938] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-11T20:05:38.231056] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-11T20:05:38.231286] Connection failed; fd='33', server='AF_UNIX(/var/run/synologan.sock)', local='AF_UNIX(anonymous)', error='No such file or directory (2)'
[2024-09-11T20:05:38.231299] Initiating connection failed, reconnecting; time_reopen='10'
[2024-09-11T20:05:38.235248] Configuration reload request received, reloading configuration;
[2024-09-11T20:05:38.235271] Configuration reload finished;
[2024-09-11T20:05:38.927005] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-11T20:05:38.953886] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-11T20:05:38.953969] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-11T20:05:38.954096] Syslog connection established; fd='23', server='AF_UNIX(/var/run/synologan.sock)', local='AF_UNIX(anonymous)'
[2024-09-11T20:05:38.957820] Configuration reload request received, reloading configuration;
[2024-09-11T20:05:38.957847] Configuration reload finished;
[2024-09-11T20:05:39.006947] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-11T20:05:39.035682] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-11T20:05:39.035758] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-11T20:05:39.039810] Configuration reload request received, reloading configuration;
[2024-09-11T20:05:39.039835] Configuration reload finished;
[2024-09-11T20:05:39.243609] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-11T20:05:39.278917] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-11T20:05:39.278998] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-11T20:05:39.283103] Configuration reload request received, reloading configuration;
[2024-09-11T20:05:39.283126] Configuration reload finished;
[2024-09-11T20:05:40.434621] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-11T20:05:38.723791] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-11T20:05:38.723868] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-11T20:05:38.728101] Configuration reload request received, reloading configuration;
[2024-09-11T20:05:38.728123] Configuration reload finished;
[2024-09-11T20:05:40.398181] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
